yearID,W,L,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,salary
1985,0,1,0,0,1,12,5,2,0,4,1,0.333,4.5,2,0,0,0,21,3,2,1,1,0,625000
1985,0,0,0,0,0,6,1,0,0,0,1,0.143,0,0,0,0,0,7,1,0,0,0,0,871429
1985,0,0,0,0,0,21,12,8,3,2,2,0.387,10.29,0,0,0,0,34,1,8,0,1,1,637500
1985,0,0,0,0,0,64,33,12,3,9,8,0.347,5.06,1,0,1,0,106,3,12,0,1,2,207500
1985,0,0,0,0,0,10,7,6,1,5,4,0.467,16.2,1,0,0,0,21,1,7,1,0,1,830000
1985,0,6,0,0,4,244,86,49,13,37,64,0.273,5.42,5,5,2,1,361,29,53,5,2,5,505000
1985,0,1,0,0,0,13,7,4,1,3,2,0.35,8.31,1,0,0,0,23,0,5,0,0,0,350000
1985,0,1,0,0,2,143,42,17,4,28,43,0.236,3.21,1,3,0,0,210,13,22,2,2,1,350000
1985,0,3,0,0,1,135,56,33,6,27,28,0.306,6.6,1,3,1,0,220,3,36,7,2,2,275000
1986,0,0,0,0,0,20,11,5,0,2,2,0.367,6.75,0,1,0,0,33,1,5,0,1,0,560458
1986,0,2,0,0,1,48,18,10,1,12,11,0.295,5.63,1,1,0,0,74,5,10,0,1,2,487078
1986,0,2,0,0,4,172,69,25,5,19,32,0.308,3.92,7,2,0,0,248,15,29,3,2,9,330000
1986,0,0,0,0,0,3,1,1,0,0,1,0.333,9,0,0,0,0,4,0,1,0,1,0,70000
1986,0,0,0,0,0,17,7,6,0,6,4,0.304,9.53,2,1,0,0,30,1,6,1,0,0,85000
1986,0,1,0,0,1,51,24,18,4,10,13,0.343,9.53,0,0,2,0,85,4,21,1,2,2,100000
1986,0,2,0,0,0,53,27,15,3,12,9,0.365,7.64,0,2,0,0,89,4,16,1,2,4,350000
1986,0,0,0,0,0,38,19,6,0,3,9,0.388,4.26,0,0,0,0,55,1,8,2,1,2,60000
1986,0,0,0,0,0,68,29,14,2,13,21,0.309,5.56,1,3,1,0,108,5,14,0,0,0,60000
1986,0,1,0,0,0,39,18,9,1,7,4,0.34,6.23,2,0,1,0,61,2,9,0,0,3,67000
1986,0,1,0,0,1,52,18,8,1,6,13,0.269,4.15,0,1,0,0,74,5,8,0,1,2,100000
1986,0,0,0,0,0,55,28,14,5,6,13,0.35,6.87,0,0,0,0,86,4,16,0,0,2,200000
1986,0,3,0,0,1,46,18,6,0,7,4,0.3,3.52,2,1,0,0,68,3,7,1,0,2,68500
1986,0,3,1,0,0,210,82,49,11,24,29,0.296,6.3,1,4,1,0,308,1,50,1,3,12,385000
1986,0,1,0,0,1,175,57,25,7,16,32,0.256,3.86,0,3,3,2,249,8,29,2,5,2,115000
1986,0,4,0,0,0,104,41,27,9,13,29,0.293,7.01,0,2,0,1,154,3,27,1,0,3,60000
1986,0,1,0,0,0,170,68,27,8,16,38,0.296,4.29,2,2,2,0,250,7,32,1,1,3,60000
1986,0,1,0,0,1,66,29,17,6,9,10,0.315,6.95,1,1,1,1,103,8,17,1,0,3,121500
1986,0,0,0,0,0,31,13,6,1,7,6,0.317,5.23,2,1,1,0,52,6,8,2,1,1,60000
1986,0,0,0,0,0,37,9,3,2,5,3,0.2,2.19,0,0,0,0,50,1,3,0,0,0,716667
1986,0,4,0,0,3,316,108,59,13,40,64,0.271,5.04,1,1,3,0,454,9,60,5,8,5,750000
1986,0,0,0,0,0,5,2,0,0,0,1,0.286,0,0,0,0,0,7,0,0,0,0,0,530000
1986,0,0,0,0,0,37,15,9,1,4,9,0.306,6.57,0,1,0,3,56,2,9,0,3,0,60000
1986,0,0,0,0,0,40,12,5,2,4,3,0.25,3.38,1,0,2,0,54,4,5,0,0,2,60000
1986,0,1,0,0,0,37,17,10,3,10,7,0.321,7.3,0,0,0,0,65,2,13,1,1,0,67000
1986,0,8,0,0,0,167,74,34,11,28,26,0.327,5.5,1,0,1,1,259,2,38,1,3,7,150000
1986,0,0,0,0,0,7,3,0,0,1,3,0.333,0,0,0,0,0,10,1,0,0,0,0,450000
1986,0,0,0,0,0,32,19,7,1,3,3,0.404,5.91,0,0,0,0,52,0,9,0,2,1,350000
1986,0,0,0,0,0,16,8,6,1,5,4,0.333,10.13,1,0,0,0,29,0,7,0,0,1,60000
1986,0,0,0,0,0,32,12,6,4,6,3,0.293,5.06,0,0,0,0,47,3,9,0,0,3,1050000
1986,0,0,0,0,0,40,23,10,0,4,14,0.39,6.75,0,0,0,0,65,4,11,1,1,2,60000
1986,0,7,0,0,2,293,91,36,10,28,66,0.247,3.32,3,5,1,0,405,23,38,5,3,4,325000
1986,0,4,0,0,1,86,33,20,2,10,20,0.295,6.28,3,1,1,2,128,10,20,3,2,1,138100
1986,0,0,0,0,1,143,35,18,5,17,37,0.207,3.4,7,5,1,2,189,12,20,1,1,6,60000
1986,0,0,0,0,1,39,16,11,0,13,9,0.314,7.62,2,1,0,1,66,3,12,1,1,2,375000
1986,0,3,0,0,5,116,42,14,1,11,33,0.275,3.26,3,0,1,0,170,13,19,4,1,3,300000
1986,0,2,0,0,0,77,28,10,0,11,20,0.286,3.51,0,2,0,0,112,0,14,3,0,3,60000
1986,0,4,0,0,2,183,53,19,1,32,31,0.251,2.8,6,2,2,0,256,19,20,7,4,8,102500
1987,0,1,0,0,1,70,25,13,4,8,12,0.269,5.01,1,1,1,0,104,9,16,1,1,2,70000
1987,0,0,0,0,0,159,71,34,8,17,18,0.33,5.77,5,1,2,0,239,10,35,4,1,8,62500
1987,0,7,0,0,0,149,74,39,6,26,26,0.365,7.07,0,1,2,0,236,2,40,3,2,8,1250000
1987,0,1,0,0,5,185,83,29,5,24,21,0.331,4.23,4,4,0,0,280,23,32,1,4,13,370000
1987,0,0,0,0,0,6,2,1,0,0,2,0.333,4.5,0,0,0,0,8,0,1,1,1,0,1100000
1987,0,0,0,0,0,19,9,10,1,9,5,0.321,14.21,0,0,0,0,37,0,10,0,0,0,400000
1987,0,0,0,0,1,24,10,8,3,1,8,0.294,9,0,0,0,0,35,5,8,0,0,0,1633333
1987,0,2,0,0,0,87,37,18,6,22,21,0.322,5.59,2,1,4,0,142,0,20,0,1,6,280000
1987,0,0,0,0,0,33,8,5,2,3,3,0.2,4.09,0,0,0,0,43,2,5,0,0,0,71500
1987,0,6,0,0,34,282,62,26,10,25,128,0.188,2.49,3,5,0,0,363,62,27,3,5,2,331000
1987,0,1,0,0,0,88,38,22,4,20,27,0.325,6.75,2,5,0,2,139,9,22,2,0,6,75000
1987,0,0,0,0,1,106,30,17,2,23,23,0.227,4.33,11,3,1,3,157,10,18,1,0,1,165000
1987,0,0,0,0,1,45,17,3,1,6,11,0.298,1.8,1,0,0,0,64,4,3,1,0,2,62500
1987,0,2,0,0,0,89,34,22,3,21,17,0.309,6.67,2,0,1,0,137,11,22,4,1,5,110037
1987,0,0,0,0,1,86,23,10,2,15,31,0.211,3.14,3,1,2,0,128,3,12,2,0,1,150000
1988,0,0,0,0,0,25,8,6,1,4,7,0.25,6.48,0,1,1,0,39,1,6,2,0,0,78000
1988,0,0,0,0,0,15,7,5,0,3,0,0.333,9,0,0,0,0,24,4,5,0,0,0,62500
1988,0,0,0,0,1,56,22,14,4,4,5,0.286,6.75,1,1,1,0,82,7,15,0,0,3,79000
1988,0,0,0,0,0,140,40,21,4,37,28,0.24,4.05,5,1,0,0,209,16,22,3,2,5,675000
1988,0,3,0,0,0,52,27,17,3,7,10,0.37,8.83,0,0,0,0,82,0,18,0,2,0,1066171
1988,0,1,0,0,0,48,26,16,2,9,8,0.382,9,0,1,1,0,78,4,17,0,0,4,62500
1988,0,0,0,0,0,14,5,5,2,2,1,0.263,9.64,0,0,0,1,21,0,5,0,0,0,62500
1988,0,1,0,0,0,113,37,14,5,16,19,0.255,3.35,0,0,1,1,165,1,15,2,1,1,97000
1988,0,0,0,0,0,26,19,13,1,8,2,0.432,13.5,0,2,0,3,52,1,17,0,0,1,102500
1988,0,6,0,0,3,254,69,29,3,38,74,0.229,3.08,6,5,1,1,350,28,31,9,1,9,175000
1988,0,2,0,0,3,48,26,17,6,2,10,0.351,9.56,0,0,1,0,77,8,19,0,0,0,325000
1988,0,4,0,0,6,98,29,13,4,13,20,0.238,3.58,2,0,2,2,138,19,15,1,0,5,500000
1988,0,1,0,0,1,76,32,10,0,5,9,0.305,3.55,2,1,0,1,110,13,11,0,0,6,1562350
1988,0,1,0,0,0,29,20,18,5,5,5,0.408,16.76,1,0,0,2,54,1,19,0,0,0,115000
1988,0,0,0,0,0,41,20,9,1,9,6,0.339,5.93,1,0,1,1,69,0,9,0,0,2,65000
1988,0,0,0,0,0,22,11,5,2,5,6,0.344,6.14,1,0,0,1,38,3,5,0,1,0,100000
1988,0,1,0,0,0,50,21,7,0,11,14,0.309,3.78,1,0,0,3,80,5,9,0,1,1,111600
1988,0,0,0,0,0,7,6,4,2,1,1,0.462,15.43,0,0,0,0,14,0,4,0,0,0,125000
1988,0,0,0,0,0,78,19,9,1,17,8,0.207,3.12,2,2,1,0,115,8,14,2,3,4,77500
1988,0,0,0,0,0,9,3,2,1,2,1,0.273,6,0,0,0,1,14,1,2,1,0,0,70000
1988,0,0,0,0,3,66,22,10,3,12,10,0.268,4.09,2,1,0,0,98,10,13,2,2,0,80000
1988,0,0,0,0,1,79,20,14,2,23,27,0.213,4.78,1,3,2,2,121,7,16,0,2,1,62500
1988,0,3,0,0,1,200,79,31,3,27,28,0.304,4.19,4,3,6,6,302,17,32,8,1,4,272500
1988,0,0,0,0,0,29,15,5,1,4,8,0.357,4.66,0,0,0,1,47,4,5,0,1,0,185000
1988,0,1,0,0,0,38,16,9,0,4,12,0.32,6.39,1,0,0,0,55,2,10,1,0,1,215000
1988,0,1,0,0,0,28,13,7,0,6,7,0.342,6.75,1,2,0,1,44,2,7,0,0,1,62500
1988,0,5,0,0,0,93,33,20,2,16,12,0.275,5.81,6,1,1,0,143,9,25,4,2,0,72000
1988,0,1,0,0,0,71,36,15,2,11,20,0.379,5.7,2,0,0,0,109,4,15,2,1,1,62500
1988,0,1,0,0,0,42,16,8,0,6,6,0.286,5.14,0,1,0,0,62,0,9,0,0,0,62500
1988,0,4,0,0,0,74,29,19,2,10,16,0.296,6.93,2,1,1,1,111,2,20,2,0,1,295000
1988,0,4,0,0,0,126,45,22,6,14,25,0.28,4.71,3,2,1,0,184,7,26,5,3,2,435000
1989,1,2,0,0,0,200,72,26,8,20,27,0.28,3.51,0,5,2,0,285,14,32,3,3,17,75000
1989,1,4,0,0,1,108,35,15,1,14,24,0.255,3.75,2,2,0,0,152,8,16,1,0,4,68000
1989,1,5,0,0,0,200,75,47,14,31,23,0.288,6.35,3,3,2,0,297,4,49,3,1,9,525000
1989,1,1,0,0,0,67,27,15,3,12,11,0.307,6.04,1,0,0,0,100,3,16,0,0,6,69000
1989,1,2,0,0,0,80,23,18,1,21,22,0.235,6.08,0,1,2,1,123,0,20,1,1,2,80000
1989,1,1,0,0,1,86,17,7,1,12,24,0.172,2.2,0,4,1,0,113,12,7,1,0,2,232390
1989,1,4,0,0,0,112,42,28,2,31,27,0.286,6.75,2,5,0,0,183,1,31,4,1,3,425000
1989,1,2,0,0,0,77,26,8,2,10,22,0.268,2.81,2,2,0,0,111,7,8,2,2,2,80000
1989,1,7,0,0,33,231,81,24,2,19,69,0.266,2.81,3,6,2,1,329,60,27,3,1,3,145000
1989,1,0,0,0,1,149,52,18,4,25,26,0.28,3.26,3,1,2,0,217,8,18,3,1,6,68000
1989,1,1,0,0,1,53,23,12,0,10,10,0.333,6.11,5,3,1,0,86,8,14,2,4,3,71500
1989,1,2,0,0,0,98,31,22,5,17,26,0.246,6.06,3,2,0,0,145,8,24,2,0,3,68000
1989,1,1,0,0,0,60,16,11,1,10,11,0.242,4.95,0,3,0,0,84,7,11,7,1,3,68000
1989,1,0,0,0,0,188,56,25,4,18,39,0.241,3.59,0,1,3,1,258,11,26,3,1,3,68000
1989,1,3,0,0,0,173,55,23,2,16,64,0.249,3.59,7,3,1,1,247,14,26,7,2,3,271000
1989,1,5,0,0,4,106,34,13,1,16,15,0.254,3.31,3,3,2,1,156,15,21,3,1,4,762000
1989,1,1,0,0,0,42,16,9,3,4,10,0.314,5.79,2,1,0,1,59,3,9,3,1,3,68000
1989,1,1,0,0,0,43,21,12,1,9,4,0.328,7.53,1,1,1,0,75,0,12,1,0,0,222500
1989,1,1,0,0,0,79,40,17,2,7,16,0.348,5.81,0,1,0,2,125,1,19,1,2,1,85000
1989,1,2,0,0,0,95,34,17,2,15,23,0.27,4.83,0,3,1,1,145,0,18,2,1,1,182500
1989,1,4,0,0,0,164,62,34,5,11,34,0.29,5.6,3,0,2,3,232,2,35,2,3,4,68000
1989,1,12,0,0,0,297,102,49,5,33,58,0.267,4.45,3,3,2,0,432,0,65,10,5,11,650000
1989,0,0,0,0,1,34,13,8,0,0,13,0.277,6.35,0,1,0,0,48,1,8,0,1,0,150000
1989,0,2,0,0,0,33,13,6,0,3,7,0.31,4.91,0,2,0,1,48,2,8,2,1,3,85000
1989,0,1,0,0,0,75,22,11,4,9,14,0.239,3.96,1,0,0,0,102,6,11,1,0,2,68000
1989,0,1,0,0,0,9,8,5,1,0,0,0.5,15,0,0,0,0,17,1,5,0,1,0,325000
1989,0,1,0,0,0,99,31,15,0,14,10,0.254,4.09,1,1,0,1,139,1,17,2,1,3,77500
1989,0,2,0,0,0,16,9,3,2,2,1,0.375,5.06,0,0,1,0,27,1,7,0,0,0,90000
1989,0,4,0,0,1,108,29,7,2,17,13,0.218,1.75,3,0,2,1,153,1,14,0,1,3,68000
1989,0,1,0,0,1,54,16,9,0,13,13,0.239,4.5,3,0,1,1,82,2,13,0,1,3,68000
1989,0,1,0,0,1,185,69,22,7,23,56,0.284,3.21,9,1,2,0,275,16,27,7,0,1,130000
1989,0,0,0,0,1,49,16,7,0,8,9,0.246,3.86,1,0,2,1,75,2,7,0,0,1,68000
1989,0,1,0,0,0,52,28,15,3,6,12,0.354,7.79,1,2,0,0,86,2,18,1,0,2,125000
1989,0,0,0,0,0,46,18,13,1,7,6,0.29,7.63,3,0,1,0,74,7,14,1,3,1,230000
1989,0,2,0,0,0,94,31,14,3,14,16,0.252,4.02,1,1,0,0,137,1,14,0,0,2,68000
1989,0,0,0,0,0,83,21,7,0,19,14,0.214,2.28,3,0,0,0,119,6,9,0,2,3,154071
1989,0,0,0,0,0,2,1,0,0,1,1,0.333,0,0,0,0,0,4,0,0,0,0,0,600000
1989,0,0,0,0,0,19,6,4,1,4,1,0.231,5.68,1,0,0,0,30,2,6,0,0,0,68000
1989,0,3,0,0,0,109,46,27,7,15,15,0.309,6.69,5,3,1,0,171,14,29,4,2,3,800000
1989,0,0,0,0,0,69,29,19,3,13,14,0.312,7.43,1,1,2,1,111,4,21,1,2,1,275000
1989,0,1,0,0,0,33,19,13,2,9,3,0.404,10.64,0,3,0,0,58,2,15,1,1,1,200000
1989,0,0,0,0,0,80,35,15,1,11,12,0.343,5.06,2,0,1,0,120,6,15,4,2,5,68000
1989,0,0,0,0,0,43,17,5,1,6,9,0.309,3.14,0,0,0,0,62,1,5,1,0,4,1300000
1989,0,2,0,0,0,99,27,8,2,11,15,0.241,2.18,2,0,2,1,129,9,11,2,2,6,68000
1989,0,1,0,0,0,119,38,14,2,8,16,0.255,3.18,0,0,1,0,160,12,16,1,1,6,78000
1989,0,0,0,0,0,9,2,2,0,5,0,0.182,6,0,0,0,1,16,0,2,0,0,0,71000
1989,0,0,0,0,0,33,15,5,0,4,6,0.319,4.09,0,0,0,0,51,2,5,0,0,2,95000
1989,0,0,0,0,0,64,19,10,1,4,2,0.244,4.22,0,0,1,0,85,4,11,0,2,2,425000
1989,0,1,0,0,0,117,46,27,5,9,29,0.301,6.23,2,5,0,1,167,1,28,2,3,3,125000
1989,0,2,0,0,0,73,25,20,4,14,19,0.26,7.4,2,1,1,0,112,0,20,0,1,2,68000
1989,0,3,0,0,1,51,25,15,2,10,8,0.329,7.94,3,1,0,0,88,3,17,1,1,0,404000
1989,0,6,0,0,2,293,84,29,5,20,68,0.237,2.67,8,2,1,0,383,23,29,5,3,7,688000
1989,0,4,0,0,0,89,29,22,2,26,26,0.264,6.67,1,2,0,2,143,1,25,3,4,1,70000
1990,1,0,0,0,0,80,28,12,4,7,15,0.272,4.05,3,2,0,0,112,9,15,1,1,2,120000
1990,1,3,0,0,1,79,26,15,3,13,17,0.265,5.13,2,1,0,0,113,9,16,1,1,4,250000
1990,1,2,0,0,3,138,38,13,1,19,32,0.229,2.54,0,0,0,0,191,16,13,2,4,4,103000
1990,1,4,0,0,0,105,39,23,3,21,20,0.281,5.91,0,2,1,0,163,1,28,1,1,5,115000
1990,1,1,0,0,0,52,15,9,0,10,9,0.246,4.67,3,1,0,1,75,6,10,1,3,3,100000
1990,1,1,0,0,1,203,77,31,9,20,35,0.287,4.12,0,3,2,0,291,10,33,1,0,7,100000
1990,1,1,0,0,0,46,11,4,1,7,4,0.212,2.35,1,0,1,0,61,3,4,1,0,1,850000
1990,1,1,0,0,0,92,40,12,2,7,19,0.325,3.52,1,1,1,0,137,5,14,2,4,3,100000
1990,1,0,0,0,0,30,10,6,2,5,4,0.256,5.4,0,0,0,0,44,3,6,0,0,1,100000
1990,1,2,0,0,0,43,13,6,0,10,7,0.265,3.77,1,0,1,0,63,0,6,2,1,4,100000
1990,1,1,0,0,0,21,7,6,1,9,3,0.28,7.71,1,1,0,0,35,0,7,0,1,3,100000
1990,1,3,0,0,13,248,62,27,5,25,56,0.213,2.94,2,2,3,1,325,34,27,2,4,9,176000
1990,1,1,0,0,1,116,38,18,5,13,28,0.255,4.19,0,4,1,0,166,12,19,1,2,4,115000
1990,1,0,0,0,0,9,2,0,0,2,3,0.2,0,1,0,0,0,12,0,0,0,0,0,375000
1990,1,2,0,0,0,150,72,35,8,23,25,0.344,6.3,0,3,1,0,238,9,42,1,4,9,190000
1990,1,0,0,0,0,45,14,6,2,6,11,0.241,3.6,2,3,0,0,65,7,8,0,1,0,650000
1990,1,5,0,0,0,125,48,19,4,33,24,0.298,4.1,6,3,1,0,200,18,21,4,1,5,100000
1990,1,1,0,0,0,66,19,11,5,7,20,0.229,4.5,1,1,0,0,91,1,11,0,1,0,150000
1990,1,2,0,0,0,42,8,2,0,3,12,0.163,1.29,0,1,0,0,52,0,3,0,0,1,1400000
1990,1,1,0,0,36,159,48,21,8,26,43,0.234,3.57,2,2,2,0,235,47,24,1,1,4,1550000
1990,1,3,0,0,1,79,19,7,4,10,12,0.209,2.39,3,1,1,1,104,12,9,0,2,6,110000
1990,1,2,0,0,0,113,36,11,1,12,19,0.25,2.63,0,5,2,0,160,0,14,1,1,3,100000
1990,1,0,0,0,0,124,25,16,5,21,31,0.176,3.48,1,2,2,0,168,9,16,1,2,3,100000
1990,1,0,0,0,0,81,24,9,0,9,16,0.242,3,0,3,2,2,113,9,10,2,1,3,100000
1990,1,0,0,0,0,22,3,3,1,11,7,0.13,3.68,0,1,0,0,34,3,4,0,0,0,100000
1990,1,2,0,0,0,114,31,20,5,30,43,0.217,4.74,5,2,1,0,176,12,25,0,2,3,108000
1990,1,1,0,0,0,112,50,27,5,21,28,0.313,6.51,2,3,2,0,186,6,28,1,2,3,100000
1990,1,5,0,0,10,76,23,12,1,16,16,0.253,4.26,5,2,0,0,111,22,15,3,1,3,1166667
1990,1,0,0,0,0,37,14,11,3,9,4,0.286,8.03,0,0,1,0,61,0,11,2,0,1,100000
1990,1,0,0,0,0,18,5,2,1,2,4,0.217,3,0,0,0,0,25,1,2,0,0,0,104000
1990,1,4,0,0,30,168,47,14,5,16,45,0.227,2.25,5,1,1,0,229,45,18,3,2,2,260000
1990,1,0,0,0,1,41,12,6,0,3,5,0.24,3.95,0,0,0,0,55,7,6,0,2,0,100000
1990,1,3,0,0,8,127,40,22,6,35,35,0.252,4.68,10,2,0,0,198,21,23,2,2,2,215000
1990,1,0,0,0,0,97,30,10,1,10,19,0.25,2.78,0,5,0,0,136,8,11,2,4,2,342500
1990,1,1,0,0,0,117,47,21,5,19,29,0.305,4.85,8,1,0,1,180,5,23,4,3,4,400000
1990,1,4,0,0,1,159,73,34,5,30,35,0.336,5.77,7,2,3,0,255,11,36,4,1,9,114000
1990,1,1,0,0,0,38,13,4,0,5,4,0.277,2.84,0,0,1,1,56,0,5,2,1,1,104000
1990,1,3,0,0,0,154,69,22,7,24,41,0.325,3.86,6,4,1,0,239,8,24,1,1,1,120500
1990,1,3,0,0,0,192,61,17,2,23,37,0.261,2.39,4,2,0,0,264,13,23,2,5,8,450000
1990,1,1,0,0,1,126,52,23,3,22,18,0.315,4.93,7,1,1,1,193,8,25,4,1,9,120000
1990,1,8,0,0,16,199,60,29,4,50,55,0.239,3.93,6,4,1,2,310,39,38,5,3,3,1125000
1990,1,1,0,0,0,39,20,10,1,7,4,0.351,6.92,0,0,0,0,64,0,11,0,0,1,100000
1990,1,2,0,0,0,59,24,12,2,11,14,0.293,5.49,1,0,0,0,94,1,14,1,0,0,100000
1990,1,1,0,0,0,76,26,12,1,4,16,0.26,4.26,0,0,1,1,106,0,12,1,0,1,1966667
1990,1,0,0,0,2,197,63,24,5,9,46,0.251,3.29,2,2,0,0,263,16,27,3,0,5,101000
1990,1,3,0,0,7,155,50,21,5,17,42,0.255,3.66,6,1,0,0,218,25,23,3,2,4,350000
1990,1,1,0,0,0,148,45,16,2,17,20,0.249,2.92,0,1,2,1,201,0,17,1,0,5,100000
1990,1,10,0,0,0,305,128,64,9,39,44,0.308,5.67,4,5,1,1,466,5,72,5,5,8,125000
1990,0,3,0,0,2,21,16,14,1,4,7,0.444,18,2,1,1,0,42,4,16,1,0,0,118000
1990,0,0,0,0,0,16,6,4,0,3,3,0.273,6.75,0,1,0,0,26,3,4,1,0,1,100000
1990,0,0,0,0,0,9,4,4,2,1,2,0.308,12,0,0,0,0,14,1,4,0,0,0,102000
1990,0,1,0,0,0,63,28,18,6,6,9,0.322,7.71,1,1,0,0,94,4,20,1,0,3,104500
1990,0,0,0,0,0,53,13,4,2,9,9,0.2,2.04,0,0,0,0,75,0,7,0,1,1,265000
1990,0,6,0,0,7,171,85,40,10,32,54,0.348,6.32,3,4,1,0,285,20,46,4,4,5,750000
1990,0,1,0,0,0,12,10,8,1,4,0,0.526,18,0,1,0,0,25,0,10,1,1,1,115000
1990,0,0,0,0,0,15,8,5,0,3,2,0.364,9,0,0,0,0,26,2,5,0,1,1,100000
1990,0,1,0,0,0,22,8,5,0,2,8,0.276,6.14,0,0,0,0,31,2,5,0,0,0,150000
1990,0,3,0,0,1,61,19,4,1,13,14,0.25,1.77,2,1,1,0,92,4,9,1,1,2,1300000
1990,0,0,0,0,0,34,4,1,0,5,5,0.111,0.79,1,2,0,0,43,3,1,1,1,0,100000
1990,0,1,0,0,0,17,6,4,2,2,2,0.261,6.35,0,0,0,0,26,0,5,1,0,0,257500
1990,0,0,0,0,0,75,31,20,2,14,16,0.31,7.2,2,2,2,1,119,8,25,1,2,3,100000
1990,0,0,0,0,1,22,11,8,1,7,3,0.333,9.82,0,3,1,0,41,3,8,0,0,0,104000
1990,0,0,0,0,0,34,12,6,2,3,8,0.286,4.76,0,0,0,0,46,2,6,1,0,2,100000
1990,0,0,0,0,0,31,15,7,3,2,8,0.357,6.1,0,0,1,0,47,4,7,1,1,1,100000
1990,0,2,0,0,0,23,16,11,2,5,2,0.421,12.91,0,0,2,0,45,0,11,0,0,0,100000
1990,0,0,0,0,0,38,16,5,2,7,9,0.308,3.55,1,0,0,0,60,0,5,0,1,0,110000
1990,0,3,0,0,0,48,24,14,5,6,3,0.343,7.88,0,0,2,0,79,0,14,1,0,0,112500
1990,0,1,0,0,0,37,14,5,0,4,10,0.304,3.65,0,0,1,0,53,3,6,0,2,0,100000
1990,0,4,0,0,0,22,14,9,0,14,3,0.4,11.05,2,3,0,0,52,0,12,3,0,1,118000
1990,0,0,0,0,0,11,5,1,0,0,1,0.357,2.45,0,0,0,0,15,0,1,1,0,1,107000
1990,0,0,0,0,0,21,8,5,0,10,6,0.296,6.43,0,0,0,0,37,1,5,0,0,1,100000
1990,0,2,0,0,0,10,9,6,0,6,4,0.529,16.2,1,1,0,0,25,1,6,2,0,0,122000
1990,0,4,0,0,0,86,43,27,3,14,9,0.355,8.48,1,4,0,0,139,1,29,0,4,2,550000
1990,0,0,0,0,0,18,9,6,0,4,9,0.346,9,0,1,0,0,31,1,6,0,1,0,100000
1990,0,0,0,0,0,25,10,9,2,9,7,0.313,9.72,1,1,1,0,43,2,9,1,0,1,300000
1990,0,5,0,0,0,104,37,23,0,28,25,0.282,5.97,0,1,1,0,162,0,24,1,1,4,100000
1990,0,0,0,0,0,13,6,1,1,1,2,0.353,2.08,1,0,0,0,19,0,2,1,0,1,120000
1990,0,3,0,0,0,33,13,8,0,5,2,0.295,6.55,0,2,0,0,51,1,10,2,0,1,170000
1990,0,0,0,0,0,15,6,3,0,5,6,0.3,5.4,0,0,0,0,25,2,3,0,0,0,100000
1990,0,3,0,0,1,125,38,17,5,16,16,0.247,3.67,3,3,1,0,175,12,17,2,2,4,100000
1990,0,0,0,0,0,14,10,9,2,4,4,0.455,17.36,0,0,0,0,27,1,9,1,0,1,506000
1990,0,0,0,0,0,3,1,0,0,0,0,0.25,0,0,0,0,0,4,1,0,0,0,0,104500
1990,0,0,0,0,0,6,2,0,0,1,0,0.25,0,0,0,0,0,9,1,0,0,0,0,100000
1990,0,0,0,0,0,7,3,2,0,3,2,0.3,7.71,0,0,0,0,13,2,3,0,0,1,102000
1990,0,1,0,0,0,3,3,2,0,6,1,0.5,18,2,1,0,0,12,0,2,0,0,0,110000
